1/2-SBSRNA4	0
A1BG	0
A1BG-AS1	0
A1CF	0
A2LD1	0
A2M	0
A2ML1	0
A2MP1	0
A4GALT	162
A4GNT	0
AA06	0
AAA1	0
AAAS	0
AACS	0
AACSP1	0
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	0
AAGAB	12
AAK1	26
AAMP	162
AANAT	0
AARS	0
AARS2	0
AARSD1	0
AASDH	0
AASDHPPT	252
AASS	0
AATF	0
AATK	0
AATK-AS1	0
ABAT	0
ABCA1	0
ABCA10	0
ABCA11P	12
ABCA12	0
ABCA13	0
ABCA17P	0
ABCA2	0
ABCA3	0
ABCA4	0
ABCA5	0
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	0
ABCB1	0
ABCB10	0
ABCB11	0
ABCB4	0
ABCB5	0
ABCB6	0
ABCB7	153
ABCB8	291
ABCB9	0
ABCC1	0
ABCC10	0
ABCC11	0
ABCC12	0
ABCC13	0
ABCC2	0
ABCC3	2076
ABCC4	0
ABCC5	0
ABCC6	0
ABCC6P1	0
ABCC6P2	0
ABCC8	0
ABCC9	0
ABCD1	0
ABCD2	0
ABCD3	76
ABCD4	0
ABCE1	0
ABCF1	8
ABCF2	0
ABCF3	0
ABCG1	0
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0
ABHD10	63
ABHD11	0
ABHD11-AS1	0
ABHD12	185
ABHD12B	0
ABHD13	0
ABHD14A	0
ABHD14A-ACY1	0
ABHD14B	149
ABHD15	0
ABHD16A	0
ABHD16B	0
ABHD2	625
ABHD3	0
ABHD4	0
ABHD5	122
ABHD6	0
ABHD8	0
ABI1	1087
ABI2	0
ABI3	0
ABI3BP	0
ABL1	0
ABL2	235
ABLIM1	65
ABLIM2	0
ABLIM3	2
ABO	5
ABP1	0
ABR	0
ABRA	0
ABT1	698
ABTB1	90
ABTB2	777
ACAA1	0
ACAA2	330
ACACA	0
ACACB	0
ACAD10	134
ACAD11	2
ACAD8	0
ACAD9	0
ACADL	3
ACADM	0
ACADS	0
ACADSB	0
ACADVL	1532
ACAN	0
ACAP1	0
ACAP2	175
ACAP3	0
ACAT1	22
ACAT2	343
ACBD3	0
ACBD4	0
ACBD5	0
ACBD6	0
ACBD7	0
ACCN1	0
ACCN2	0
ACCN3	0
ACCN4	0
ACCN5	0
ACCS	0
ACCSL	0
ACD	0
ACE	0
ACE2	0
ACER1	0
ACER2	0
ACER3	0
ACHE	0
ACIN1	46
ACLY	0
ACMSD	0
ACN9	0
ACO1	55
ACO2	245
ACOT1	11
ACOT11	0
ACOT12	0
ACOT13	0
ACOT2	89
ACOT4	0
ACOT6	0
ACOT7	0
ACOT8	0
ACOT9	541
ACOX1	0
ACOX2	0
ACOX3	0
ACOXL	0
ACP1	615
ACP2	185
ACP5	0
ACP6	0
ACPL2	16
ACPP	0
ACPT	0
ACR	0
ACRBP	0
ACRC	0
ACRV1	0
ACSBG1	0
ACSBG2	0
ACSF2	0
ACSF3	0
ACSL1	0
ACSL3	0
ACSL4	0
ACSL5	733
ACSL6	0
ACSM1	224
ACSM2A	0
ACSM2B	0
ACSM3	0
ACSM4	0
ACSM5	0
ACSS1	0
ACSS2	144
ACSS3	0
ACTA1	0
ACTA2	0
ACTB	12443
ACTBL2	0
ACTC1	0
ACTG1	14286
ACTG2	0
ACTL10	0
ACTL6A	44
ACTL6B	0
