B3GALT1	0
B3GALT2	0
B3GALT4	9
B3GALT5	5
B3GALT6	9
B3GALTL	0
B3GAT1	0
B3GAT2	0
B3GAT3	24
B3GNT1	30
B3GNT2	0
B3GNT3	0
B3GNT4	0
B3GNT5	17
B3GNT6	0
B3GNT7	0
B3GNT8	0
B3GNT9	33
B3GNTL1	0
B4GALNT1	2
B4GALNT2	0
B4GALNT3	0
B4GALNT4	0
B4GALT1	0
B4GALT2	7
B4GALT3	142
B4GALT4	87
B4GALT5	0
B4GALT6	0
B4GALT7	23
B7H6	149
B9D1	40
B9D2	2
BAALC	0
BAAT	0
BABAM1	120
BACE1	0
BACE1-AS	0
BACE2	0
BACH1	0
BACH2	16
BAD	7
BAG1	37
BAG2	1
BAG3	81
BAG4	0
BAG5	175
BAG6	123
BAGE	0
BAGE2	0
BAGE3	0
BAGE4	0
BAGE5	0
BAHCC1	0
BAHD1	21
BAI1	0
BAI2	0
BAI3	0
BAIAP2	104
BAIAP2L1	71
BAIAP2L2	0
BAIAP3	159
BAK1	37
BAMBI	0
BANF1	73
BANF2	0
BANK1	48
BANP	14
BAP1	2
BARD1	0
BARHL1	0
BARHL2	0
BARX1	0
BARX2	0
BASP1	0
BASP1P1	0
BATF	0
BATF2	0
BATF3	0
BAX	0
BAZ1A	0
BAZ1B	55
BAZ2A	81
BAZ2B	131
BBC3	0
BBIP1	42
BBOX1	0
BBS1	4
BBS10	67
BBS12	0
BBS2	106
BBS4	107
BBS5	8
BBS7	3
BBS9	3
BBX	106
BCAM	7
BCAN	0
BCAP29	7
BCAP31	231
BCAR1	22
BCAR3	0
BCAR4	0
BCAS1	0
BCAS2	37
BCAS3	0
BCAS4	7
BCAT1	0
BCAT2	74
BCCIP	83
BCDIN3D	0
BCHE	0
BCKDHA	15
BCKDHB	53
BCKDK	197
BCL10	12
BCL11A	0
BCL11B	0
BCL2	0
BCL2A1	0
BCL2L1	47
BCL2L10	0
BCL2L11	23
BCL2L12	0
BCL2L13	54
BCL2L14	0
BCL2L15	0
BCL2L2	19
BCL2L2-PABPN1	0
BCL3	0
BCL6	0
BCL6B	0
BCL7A	0
BCL7B	123
BCL7C	0
BCL9	374
BCL9L	0
BCLAF1	251
BCMO1	0
BCO2	0
BCOR	81
BCORL1	0
BCORP1	0
BCR	54
BCRP2	0
BCRP3	0
