Gene	YF1_OCS_sc.56	YF1_OCS_sc.57	YF1_OCS_sc.58	YF1_OCS_sc.59	YF1_OCS_sc.60	YF1_OCS_sc.61	YF1_OCS_sc.62	YF1_OCS_sc.63	YF1_OCS_sc.64	YF1_OCS_sc.65	YF1_OCS_sc.66	YF1_OCS_sc.67	YF1_OCS_sc.68	YF1_OCS_sc.69	YF1_OCS_sc.70	YF1_OCS_sc.71	YF1_OCS_sc.72	YF1_OCS_sc.73	YF1_OCS_sc.74	YF1_OCS_sc.75	YF1_OCS_sc.76	YF1_OCS_sc.77	YF1_OCS_sc.78	YF1_OCS_sc.79	YF1_OCS_sc.80	YF1_OCS_sc.81	YF1_OCS_sc.82	YF1_OCS_sc.83	YF1_OCS_sc.84	YF1_OCS_sc.85	YF1_OCS_sc.86	YF1_OCS_sc.87	YF1_OCS_sc.88	YF1_OCS_sc.89	YF1_OCS_sc.90	YF1_OCS_sc.91	YF1_OCS_sc.92	YF1_OCS_sc.93	YF1_OCS_sc.94	YF1_OCS_sc.95	YF1_OCS_sc.96	YF1_OCS_sc.97	YF1_OCS_sc.98	YF1_OCS_sc.99	YF1_OCS_sc.100	YF1_OCS_sc.101	YF1_OCS_sc.102	YF1_OCS_sc.103	YF1_OCS_sc.104	YF1_OCS_sc.105	YF1_OCS_sc.106	YF1_OCS_sc.107	YF1_OCS_sc.108	YF1_OCS_sc.109
A2M	4	1	3	1	8	110	0	0	0	26	0	1	0	2	0	1	0	0	1	1	31	0	1	7	1	0	0	0	22	0	0	0	2	3	0	0	0	0	2	0	28	0	0	0	0	12	15	0	0	0	0	17	0	1
A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	0	0	0	7	0	0	0	0	0
AACS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAGAB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAK1	0	13	0	0	0	10	4	1	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	33	0	0	0	3	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAMDC	0	0	0	2	13	19	1	2	0	1	0	0	1	0	18	12	2	5	0	1	0	0	0	1	44	0	0	0	8	0	0	1	0	0	31	0	36	1	2	21	0	1	0	0	0	0	26	0	0	0	0	0	1	1
AAMP	0	0	0	4	4	15	2	0	0	31	0	1	0	0	10	12	1	5	0	0	6	1	0	0	32	0	2	1	0	0	0	0	1	1	0	0	18	0	0	1	7	14	48	1	13	1	27	0	0	1	0	0	0	1
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAR2	0	30	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	11	0	0	0	0	0	0	0	0	4	0	0	2	0	4	0	0	1	0	0	0	0	20	0	0	13	0	0	0	1
AARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
