Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
FAM222A	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	2	1	0	0	2	0	0	0	1	0	0	1	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FAM222B	2	0	3	0	4	7	0	9	0	4	3	43	1	1	6	44	5	12	6	40	10	6	0	1	3	0	22	1	16	45	7	13	5	0	2	4	2	5	1	5	2	4	2	0
FAM227A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
FAM227B	1	0	1	0	1	3	0	1	0	0	1	4	0	0	0	10	0	4	0	11	2	1	0	0	0	0	6	1	6	10	2	2	1	0	0	0	1	2	0	4	0	0	0	0
FAM228A	70	23	54	19	91	113	58	71	0	71	39	345	20	110	99	803	68	193	193	663	280	80	36	69	34	2	299	24	510	398	225	238	27	22	37	51	61	106	111	160	65	54	69	7
FAM229A	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
FAM229B	1	0	0	0	4	7	5	4	0	0	0	14	0	5	3	15	1	4	2	19	4	0	1	3	0	0	14	3	5	16	7	9	1	0	0	7	4	12	2	3	2	3	3	0
FAM234B	3	1	6	2	0	0	4	2	0	1	2	9	1	1	3	9	1	4	5	4	0	2	3	3	0	0	3	0	4	4	9	5	3	1	0	0	2	0	2	2	1	2	4	0
FAM237A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM237B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM240A	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM240B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM241A	2	1	1	0	2	0	0	1	0	0	0	6	0	0	1	19	1	2	1	16	3	0	0	0	1	0	3	1	9	10	4	3	0	0	0	0	1	1	2	2	0	0	0	0
FAM241B	1	4	4	1	9	3	5	3	0	4	1	32	3	2	6	80	3	18	34	64	6	1	2	4	1	1	21	3	11	44	14	17	3	1	2	5	3	4	9	10	4	2	1	1
FAM24A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM24B	1	0	0	0	0	1	1	1	0	0	0	7	0	0	1	5	0	0	3	6	1	1	0	0	0	0	2	0	6	4	2	4	0	0	0	0	0	0	6	1	0	0	0	0
FAM32A	7	5	9	1	16	8	15	14	0	10	7	55	4	16	12	104	9	32	38	79	21	14	7	21	3	0	41	8	50	68	44	41	7	3	6	16	13	21	25	18	18	9	9	0
FAM3A	0	0	0	0	3	1	0	1	0	0	0	8	0	1	1	6	4	2	4	12	1	0	0	4	3	0	7	0	6	8	4	4	2	2	1	1	2	2	2	3	4	2	2	0
FAM3B	2	0	1	1	0	4	0	0	0	1	0	6	1	1	3	26	1	3	2	22	7	1	0	0	0	0	3	0	9	10	10	2	0	0	2	0	0	1	1	0	2	2	2	0
FAM3C	3	2	1	2	4	9	1	6	0	5	3	38	2	4	7	52	0	23	13	46	15	6	0	5	2	0	31	3	25	50	10	12	1	1	1	4	5	2	1	1	1	1	2	2
FAM3D	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	9	0	0	2	13	0	0	0	0	0	0	1	0	10	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FAM43A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM46A	3	1	0	0	1	3	0	0	0	2	0	6	2	1	3	6	2	12	17	3	6	7	0	2	0	1	9	1	4	9	10	4	0	0	0	1	1	4	2	5	7	2	4	0
FAM46B	0	0	0	0	0	0	0	1	0	1	0	5	0	1	3	28	1	2	1	14	5	1	0	1	0	0	4	0	7	7	3	4	0	1	0	1	0	0	0	0	2	0	1	0
FAM46C	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM47A	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM47B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM47C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM49A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM49B	9	6	3	3	12	9	5	16	0	19	9	98	3	4	8	88	12	45	72	95	31	16	2	14	6	2	74	8	58	80	61	55	4	4	3	8	9	9	17	16	9	7	6	2
FAM50A	7	3	1	1	13	5	8	1	0	7	9	32	0	16	5	59	12	21	35	51	5	11	4	18	1	0	28	13	33	42	39	19	1	5	7	11	15	15	18	30	17	6	6	0
FAM50B	1	1	0	0	2	3	1	1	0	1	3	0	1	3	1	0	1	1	14	1	0	5	1	4	0	0	5	1	1	2	2	1	0	0	2	1	1	4	6	1	5	1	0	0
FAM53A	1	2	1	0	2	1	0	0	0	8	2	19	0	6	3	42	2	13	38	33	9	2	0	4	2	1	13	2	11	18	9	10	0	2	2	3	0	2	8	1	4	0	3	1
FAM53B	1	1	1	0	3	4	1	5	0	1	2	20	1	7	4	34	3	8	8	27	8	4	0	5	1	0	13	0	18	17	7	7	0	2	2	1	2	4	2	1	1	0	4	0
FAM53C	7	0	2	2	2	7	1	1	0	4	0	15	2	1	3	54	2	12	10	58	6	3	0	8	0	0	6	4	24	9	15	10	3	2	3	4	1	3	3	4	0	2	2	0
FAM57A	1	0	1	0	0	0	1	1	0	3	0	16	0	0	2	32	1	7	10	42	12	2	0	1	1	0	6	1	11	22	3	0	0	4	3	0	0	1	3	1	0	0	1	0
FAM57B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM69A	1	0	2	0	0	0	1	1	0	0	1	3	0	2	0	2	1	5	2	6	5	0	0	0	0	0	2	1	7	1	0	2	0	1	0	0	0	1	2	1	0	0	0	0
FAM69B	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	2	0	3	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FAM69C	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM71F1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM76A	13	7	9	6	18	17	12	32	0	21	13	96	6	13	11	175	14	55	60	172	51	16	3	17	3	1	105	5	90	122	80	61	2	1	6	5	12	13	33	25	2	11	22	1
FAM76B	4	2	2	1	2	6	2	10	0	8	6	19	2	2	6	16	6	23	4	41	11	3	0	4	0	0	34	10	18	28	15	34	0	3	4	11	2	11	6	9	4	1	7	1
FAM78A	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM78B	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM81A	1	0	0	0	0	0	0	2	0	1	1	5	0	1	1	7	2	3	4	23	5	0	0	2	0	0	8	0	11	11	4	8	1	0	1	0	0	5	3	1	0	0	2	0
FAM81B	0	0	0	0	0	0	0	0	0	0	1	6	1	0	3	6	0	1	1	7	1	0	0	0	0	0	4	0	0	5	1	2	0	0	0	0	0	1	2	1	0	0	1	0
FAM83A	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	6	0	3	1	7	3	1	0	0	0	0	4	0	5	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83B	4	2	0	0	1	3	1	4	0	1	6	10	0	2	6	16	1	4	1	23	7	2	0	1	0	0	8	0	8	19	6	8	0	2	0	4	1	1	1	4	0	1	0	0
FAM83C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83D	2	3	0	1	1	1	0	4	0	2	5	15	0	3	2	25	1	6	20	29	21	3	1	2	0	0	18	0	15	11	7	2	0	1	1	4	3	2	5	5	10	0	0	0
FAM83E	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83F	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0
FAM83G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM83H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FAM84A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM84B	3	1	0	0	1	1	1	1	0	0	0	8	0	2	3	26	1	3	15	23	2	2	0	1	1	1	5	0	7	12	3	0	0	0	1	1	2	0	0	0	3	0	0	0
FAM89A	1	0	0	0	0	0	0	0	0	2	2	7	0	0	1	3	0	1	4	3	0	2	0	2	0	0	1	1	1	5	1	1	0	0	0	0	0	0	0	1	0	1	0	0
FAM89B	1	0	1	0	0	1	0	1	0	2	0	19	0	4	1	27	0	7	7	20	6	2	1	5	2	0	8	4	7	10	10	3	1	0	2	3	0	2	2	5	1	1	2	0
FAM8A1	3	4	1	0	3	1	0	6	0	6	4	41	0	0	3	45	1	14	8	31	21	5	0	3	1	0	12	3	19	35	3	8	2	0	1	0	2	2	0	4	0	0	2	0
FAM91A1	1	2	1	1	0	9	0	9	0	0	2	11	0	1	5	15	0	4	7	23	8	2	1	0	0	0	8	3	13	8	3	5	0	0	3	0	3	4	1	1	1	2	2	0
FAM92A	0	0	1	0	1	1	0	8	0	4	4	14	0	1	3	11	1	12	6	32	6	2	1	2	0	0	15	0	23	15	20	10	1	0	2	1	2	4	2	1	1	0	3	0
FAM92B	0	0	0	1	0	0	1	1	0	2	1	23	0	0	0	51	0	8	4	120	18	1	0	0	0	0	9	0	30	10	6	0	0	0	1	1	0	4	0	2	0	1	1	0
FAM96B	42	26	31	15	31	50	35	87	0	36	18	140	14	47	52	244	31	138	138	203	115	56	7	26	11	5	192	26	158	217	163	144	13	11	21	27	40	43	53	68	45	32	39	2
FAM98A	14	6	11	8	24	19	11	17	0	10	12	76	2	11	25	95	15	44	21	120	21	14	5	19	1	1	78	6	70	71	69	68	3	4	8	13	12	21	30	27	7	9	23	0
FAM98B	15	2	11	5	8	31	4	35	0	20	7	94	2	5	17	144	8	68	11	196	66	9	1	5	3	1	150	10	120	157	26	62	1	3	0	3	2	29	22	19	2	6	14	0
FAM9A	0	1	2	0	0	0	0	0	0	3	1	3	1	0	0	1	0	0	1	0	4	0	0	0	0	0	0	0	2	5	4	0	1	1	0	0	0	0	1	0	1	3	0	0
FAM9B	0	1	1	0	4	1	0	3	0	5	2	40	2	0	6	54	2	14	17	32	12	2	0	1	0	0	21	1	28	62	16	14	0	2	1	1	3	3	1	2	5	4	2	0
FAM9C	6	5	0	0	1	1	2	6	0	8	1	20	1	4	3	39	5	9	12	54	12	6	2	5	1	0	16	3	16	28	17	13	0	0	3	2	2	5	7	4	6	13	3	0
FAN1	2	0	0	2	0	3	1	2	0	0	0	15	0	1	2	32	1	7	3	40	12	1	3	2	2	0	8	0	27	28	5	13	0	1	0	4	1	6	2	5	0	0	1	0
FANCB	1	1	0	0	1	3	1	1	0	0	0	6	0	1	0	16	0	7	2	18	3	2	0	0	0	0	1	0	6	10	2	7	0	0	0	0	0	0	0	2	0	0	1	0
FANCC	1	2	0	0	1	5	0	1	0	1	3	14	0	0	2	19	4	7	2	16	8	7	0	0	1	0	4	0	13	5	4	9	0	0	0	1	0	3	4	3	0	0	2	0
FANCE	1	2	0	0	0	3	1	3	0	0	2	6	1	0	3	22	0	3	8	23	3	5	1	6	0	0	4	1	2	6	2	4	1	0	0	2	0	3	1	0	2	4	1	0
FANCG	2	1	0	0	0	5	2	2	0	0	2	3	0	3	1	7	0	4	3	3	0	0	0	3	0	0	3	0	1	3	4	4	0	0	0	0	4	0	2	0	2	0	1	0
FANCI	8	0	3	4	3	9	2	18	0	11	11	74	3	5	11	84	6	47	29	141	34	20	2	10	8	0	80	4	77	128	43	54	2	2	2	4	4	16	22	28	3	6	9	0
FANCL	7	4	6	2	5	6	5	12	1	9	3	48	0	4	7	85	14	27	22	95	48	9	1	4	3	1	26	1	52	52	19	31	0	1	2	5	1	10	1	4	0	1	12	0
FANCM	2	0	1	0	1	3	0	6	0	1	2	11	2	0	3	15	2	4	4	25	7	1	0	2	0	0	7	0	14	18	6	3	2	0	0	5	0	1	1	1	2	1	2	0
FANK1	7	11	15	12	18	13	19	12	0	12	11	68	5	10	22	71	11	50	75	59	26	22	5	15	9	0	55	5	45	78	50	52	3	5	10	19	15	16	24	24	9	13	15	6
FAP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAR1	3	0	1	0	3	2	2	4	0	1	1	21	0	0	2	12	1	9	5	22	10	3	0	4	0	0	8	2	8	17	5	7	1	0	0	2	0	1	8	3	2	0	1	0
FAR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FARP1	9	2	8	7	4	5	3	17	1	12	3	60	2	5	11	95	9	48	31	194	20	7	4	2	3	1	79	2	43	107	38	50	0	4	3	5	5	14	15	16	2	4	10	2
FARP2	3	1	5	0	0	5	3	0	0	1	3	12	0	1	1	14	2	7	4	28	1	2	0	3	1	2	9	1	16	24	5	6	0	1	0	1	0	2	3	2	1	0	0	0
FARS2	1	2	3	0	4	0	1	1	0	4	1	11	0	2	2	26	3	15	17	22	5	2	0	3	2	0	16	2	21	16	11	10	2	0	0	1	2	1	2	0	2	2	0	0
FARSA	1	3	2	0	4	2	1	5	1	7	4	24	2	4	8	34	7	16	45	46	12	4	3	9	2	1	28	2	26	38	19	16	2	2	2	3	2	3	9	10	5	7	6	0
FARSB	13	8	11	5	10	26	21	35	0	24	10	90	3	16	24	125	10	54	65	146	60	15	4	16	5	0	87	4	122	120	83	87	2	1	8	14	24	28	32	27	21	13	29	0
FAS	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	1	1	1	5	0	0	0	0
FASLG	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
FASN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
FASTK	0	1	2	0	3	4	1	0	0	1	3	7	0	9	0	5	4	4	12	7	4	3	0	6	1	0	6	2	1	3	9	3	1	0	0	4	4	4	1	3	7	7	0	0
FASTKD1	1	2	3	2	3	5	1	8	0	2	2	19	2	0	1	36	3	11	15	51	19	1	0	1	2	0	20	1	21	34	16	14	0	3	0	1	2	2	5	3	0	0	2	2
FASTKD2	7	3	2	0	3	4	4	10	0	7	2	32	2	7	2	52	3	17	17	54	14	4	1	6	1	0	31	3	30	31	22	22	0	0	1	3	3	11	3	9	3	4	2	0
FASTKD3	1	1	0	0	0	0	0	1	0	0	0	3	0	0	0	12	0	3	0	5	3	1	0	0	0	0	1	0	9	2	4	7	0	0	0	0	0	4	2	0	1	0	3	1
FAT1	0	1	1	1	0	1	0	2	0	0	1	5	0	0	1	15	3	3	0	14	3	0	0	1	0	0	4	5	11	8	1	6	2	0	1	1	0	6	1	2	0	0	0	0
FAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAT3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
FAT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FATE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAU	40	13	24	16	58	77	37	39	0	28	36	219	13	65	57	462	44	119	103	449	132	38	23	58	8	4	148	148	265	260	156	164	29	13	34	63	58	121	75	103	57	50	82	5
FAXC	0	0	0	0	0	0	0	1	0	0	0	7	0	0	2	13	0	6	3	11	2	2	0	0	0	0	4	0	6	5	2	7	0	0	0	0	2	0	0	0	2	0	1	0
FAXDC2	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	14	0	0	1	7	2	1	0	1	0	0	6	3	0	5	0	0	1	0	0	2	0	1	0	1	0	0	0	1
FBF1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
FBL	3	2	5	0	6	6	3	5	0	3	4	40	1	7	5	57	4	24	42	58	17	21	2	3	4	0	25	10	28	27	20	10	1	2	4	4	1	2	7	4	16	3	3	1
FBLIM1	2	1	0	1	1	0	0	0	0	1	0	3	0	0	0	5	0	3	1	4	6	1	0	0	0	0	2	2	3	3	1	6	0	0	0	0	1	1	1	1	0	1	0	0
FBLL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBLN1	0	1	1	0	2	1	0	0	0	0	0	3	0	1	0	4	0	0	10	4	2	1	1	1	0	0	3	1	6	6	5	1	0	1	0	1	0	2	2	2	4	1	0	0
FBLN2	3	2	1	0	3	0	2	0	0	0	1	11	1	1	6	10	0	2	4	7	2	2	1	2	3	0	1	0	6	5	4	4	0	1	0	0	0	0	1	0	3	0	3	0
FBLN5	12	6	9	1	8	16	5	20	0	16	11	66	6	10	19	122	12	41	63	87	39	27	2	12	1	0	50	5	57	82	37	47	3	8	3	8	19	16	31	19	14	10	11	4
FBLN7	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	10	0	1	5	8	3	0	0	2	0	0	1	0	3	5	1	1	0	0	0	4	0	0	2	0	1	0	0	0
FBN1	1	0	0	2	0	2	0	3	0	0	5	11	1	0	2	24	0	3	4	23	7	1	0	0	0	0	10	3	7	19	3	1	0	0	0	3	0	0	2	1	2	2	0	0
FBN2	0	4	1	0	0	0	0	3	0	0	1	8	0	1	1	9	0	5	4	12	2	1	0	1	0	0	7	1	3	7	1	3	0	0	0	0	2	0	2	2	1	0	0	0
FBN3	0	1	0	0	2	0	0	0	0	0	0	1	0	1	3	5	2	0	4	6	0	1	0	4	0	0	4	0	1	1	1	2	0	0	0	0	0	0	1	0	0	0	2	0
FBP1	9	11	9	5	11	12	3	7	0	10	21	46	1	5	13	18	18	49	125	38	7	30	1	16	14	1	88	3	29	62	53	23	4	2	3	10	16	21	20	8	16	9	14	3
FBP2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	3	0	3	1	0	0	0	0	0	0	0	3	0	4	0	1	3	0	0	1	0	0	0	1	0	1	1	0	0
FBRS	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	0	5	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
FBXL13	1	0	0	0	0	0	0	3	0	0	0	2	1	1	1	8	1	3	10	7	2	1	0	0	0	0	1	0	8	3	2	5	0	0	0	0	1	1	2	1	0	0	0	0
FBXL14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL15	2	2	1	0	10	5	4	2	0	5	3	22	1	10	3	80	1	13	19	66	9	5	1	1	1	0	15	5	16	15	15	6	3	0	1	3	8	7	10	6	9	1	4	0
FBXL16	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	5	1	3	3	6	0	0	1	0	0	0	2	0	4	5	1	3	0	0	0	0	1	0	0	1	0	0	0	0
FBXL17	0	0	0	0	1	0	0	1	0	0	0	4	0	0	0	10	0	1	0	1	1	1	0	0	0	0	0	1	3	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0
FBXL18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	3	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0
FBXL19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXL20	0	3	2	0	1	2	0	2	0	1	1	8	0	0	1	10	1	0	6	11	2	0	0	1	0	0	2	0	1	6	5	6	0	0	0	1	0	0	2	0	4	1	0	0
FBXL22	2	0	1	0	1	4	0	1	0	3	0	17	2	2	2	14	0	6	7	17	10	0	0	0	0	0	11	1	10	11	4	5	0	2	0	2	0	5	5	2	2	1	1	0
FBXL3	6	3	5	0	0	8	3	7	0	6	2	30	1	2	3	45	1	15	12	41	21	9	1	6	2	0	19	2	23	25	7	17	1	3	4	1	2	13	7	6	3	1	7	0
FBXL4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	4	0	0	5	1	0	0	0	1	0	1	2	0	3	2	0	2	0	2	0	2	0	1	1	1	0	2	0	0
FBXL5	11	5	10	1	13	16	10	19	0	27	9	116	5	6	31	173	5	50	63	231	54	12	5	11	4	2	91	10	104	97	75	57	3	4	7	13	9	17	18	23	8	11	13	1
FBXL6	1	0	1	0	2	1	0	0	0	0	4	9	0	2	4	23	1	5	3	14	0	5	1	5	1	0	7	0	1	2	1	3	1	0	1	0	0	1	1	1	0	0	0	0
FBXL7	3	0	2	0	0	0	0	5	0	3	0	28	1	1	4	27	1	2	5	23	10	3	0	0	1	0	8	1	15	15	11	8	0	1	0	0	1	0	1	0	2	1	0	0
FBXO10	1	1	0	0	1	0	0	1	0	2	1	8	0	0	2	6	0	4	3	8	2	5	0	0	3	0	3	0	4	4	1	0	0	1	0	0	1	0	1	0	2	1	1	0
FBXO11	6	3	5	0	3	4	2	8	0	4	4	41	0	2	6	54	5	19	9	35	11	4	0	6	0	0	14	1	35	27	7	6	1	2	1	2	1	4	6	2	1	0	2	0
FBXO15	1	3	6	0	5	8	5	6	0	3	2	14	3	6	4	46	2	11	13	38	9	4	3	9	3	0	24	1	22	31	7	11	0	2	3	5	5	7	5	10	4	1	8	0
FBXO16	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	0	0	0	0
FBXO2	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	4	0	2	4	2	1	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0
FBXO21	2	0	0	1	2	7	1	7	0	2	6	7	0	4	4	10	0	7	6	29	8	0	5	3	0	0	9	0	8	18	10	9	0	2	2	2	2	2	3	7	1	1	2	0
FBXO22	3	4	11	3	18	6	5	14	0	6	4	36	6	11	16	84	9	13	51	91	13	7	2	13	2	1	32	5	30	52	20	24	2	4	8	13	9	7	14	17	19	5	7	3
FBXO25	8	16	30	6	21	12	22	34	0	47	24	149	11	38	47	249	28	106	83	280	111	37	3	42	29	2	174	18	177	232	123	123	6	8	13	38	30	51	61	49	27	13	25	2
FBXO27	0	1	0	1	1	1	0	1	0	0	1	13	0	0	2	4	2	10	12	15	1	3	0	1	2	0	5	0	5	4	4	3	0	0	1	1	1	3	0	2	3	2	0	0
FBXO28	1	0	0	0	3	2	0	5	0	0	2	9	1	0	3	10	2	3	1	16	6	1	0	1	0	0	3	1	4	7	6	1	0	0	1	1	2	2	2	3	1	0	2	1
