Gene	YF1_OCS_sc.1	YF1_OCS_sc.2	YF1_OCS_sc.3	YF1_OCS_sc.4	YF1_OCS_sc.5	YF1_OCS_sc.6	YF1_OCS_sc.7	YF1_OCS_sc.8	YF1_OCS_sc.9	YF1_OCS_sc.10	YF1_OCS_sc.11	YF1_OCS_sc.12	YF1_OCS_sc.13	YF1_OCS_sc.14	YF1_OCS_sc.15	YF1_OCS_sc.16	YF1_OCS_sc.17	YF1_OCS_sc.18	YF1_OCS_sc.19	YF1_OCS_sc.20	YF1_OCS_sc.21	YF1_OCS_sc.22	YF1_OCS_sc.23	YF1_OCS_sc.24	YF1_OCS_sc.25	YF1_OCS_sc.26	YF1_OCS_sc.27	YF1_OCS_sc.28	YF1_OCS_sc.29	YF1_OCS_sc.30	YF1_OCS_sc.31	YF1_OCS_sc.32	YF1_OCS_sc.33	YF1_OCS_sc.34	YF1_OCS_sc.35	YF1_OCS_sc.36	YF1_OCS_sc.37	YF1_OCS_sc.38	YF1_OCS_sc.39	YF1_OCS_sc.40	YF1_OCS_sc.41	YF1_OCS_sc.42	YF1_OCS_sc.43	YF1_OCS_sc.44	YF1_OCS_sc.45	YF1_OCS_sc.46	YF1_OCS_sc.47	YF1_OCS_sc.48	YF1_OCS_sc.49	YF1_OCS_sc.50	YF1_OCS_sc.51	YF1_OCS_sc.52	YF1_OCS_sc.53	YF1_OCS_sc.54	YF1_OCS_sc.55
PAK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAK4	0	0	0	0	2	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0
PAK5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALB2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALLD	12	0	1	8	20	126	1	2	1	1	36	1	2	0	0	25	0	8	25	0	0	3	0	7	0	247	1	33	2	0	55	1	46	2	2	44	18	0	0	1	0	1	4	1	195	26	0	0	3	0	0	0	0	1	2
PALM	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
PALM2	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PALMD	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAM	8	0	1	0	28	9	0	1	25	0	1	0	0	0	0	4	0	0	6	1	5	0	0	0	19	0	1	0	0	29	0	0	0	20	0	10	1	0	0	0	0	0	0	0	89	0	0	0	0	0	0	1	0	0	0
